url;vendor;flows;percents;
activity.windows.com;Microsoft;4131;0.9849785407725322;
enttemplates.content.office.net;Microsoft;5501;1.0;
p37-keyvalueservice.icloud.com;Apple;1659;0.9993975903614458;
otf.msn.com;Microsoft;12604;0.9920503738685557;
gfwsl.geforce.com;Microsoft;3071;0.996754300551769;
settings.data.microsoft.com;Microsoft;1782;0.9944196428571429;
api.samsungcloud.com;Google;5022;0.9980127186009539;
p32-keyvalueservice.icloud.com;Apple;2526;1.0;
licensing.mp.microsoft.com;Microsoft;14605;0.9978819349549057;
at.atwola.com;Microsoft;2363;0.9911912751677853;
up.cm.ksmobile.com;Google;2209;0.9995475113122172;
cloudconfig.googleapis.com;Google;4033;0.9652943992340833;
displaycatalog.mp.microsoft.com;Microsoft;1808;0.9966923925027563;
portal.fb.com;Google;48695;0.958034941370898;
p29-keyvalueservice.icloud.com;Apple;1655;1.0;
media.pathcdn.net;Apple;1263;1.0;
p36-keyvalueservice.icloud.com;Apple;1903;0.9963350785340314;
alt5-mtalk.google.com;Google;1065;0.9870250231696015;
01-prod.do.dsp.mp.microsoft.com;Microsoft;30328;0.9991434407326876;
p02-mailws.icloud.com;Apple;5221;1.0;
mini5.opera-mini.net;Google;1516;0.9856957087126138;
redirector.googlevideo.com;Google;7777;0.9577586206896552;
www.bizographics.com;Microsoft;3329;0.9546888442787497;
connectivitycheck.android.com;Google;48235;0.9996891191709845;
xp.apple.com;Apple;19619;0.99735651466626;
webdav.facebook.com;Apple;2903;0.9996556473829201;
p19-keyvalueservice.icloud.com;Apple;1448;1.0;
p32-btmmdns.icloud.com;Apple;1051;1.0;
2.dl.delivery.mp.microsoft.com;Microsoft;3436;0.998546934030805;
e-service.weather.microsoft.com;Microsoft;18009;0.9982815964523282;
ui.ff.avast.com:80;Google;9400;0.9789627161008123;
query.hicloud.com:80;Google;1086;0.9845874886672711;
www.apple.com;Apple;4140;0.9623430962343096;
su.itunes.apple.com;Apple;1138;0.9964973730297724;
p20-keyvalueservice.icloud.com;Apple;1670;0.9988038277511961;
gsp64-ssl.ls.apple.com;Apple;11483;0.9993038029762423;
p40-keyvalueservice.icloud.com;Apple;1629;0.9914790018259282;
img-s-msn-com.akamaized.net;Microsoft;29326;0.9975169223442975;
ecn.dev.virtualearth.net;Microsoft;2150;0.9930715935334873;
proxy.googlezip.net;Google;2968;0.9983181971072991;
mesu.apple.com;Apple;10071;0.9987108290360968;
api.sec.miui.com;Google;4264;0.9653611048222775;
ext-services.apps.microsoft.com;Microsoft;1068;1.0;
www.msftncsi.com;Microsoft;10880;0.9921575779682655;
level3.blizzard.com;Microsoft;3045;0.964828897338403;
www.feelinsonice.com;Apple;2462;1.0;
9---sn-2gb7ln7d.googlevideo.com;Apple;1491;0.970703125;
p13-ckdatabase.icloud.com;Apple;1142;1.0;
lithium.facebook.com;Google;2458;0.98714859437751;
u.b1.download.windowsupdate.com;Microsoft;1072;1.0;
ca0.opera-proxy.net;Microsoft;1332;1.0;
oodanddrink.tile.appex.bing.com;Microsoft;3480;0.9991386735572783;
officecdn.microsoft.com;Microsoft;2986;0.9691658552418047;
api.slovnik.seznam.cz;Microsoft;2271;0.9925699300699301;
dm2306.storage.live.com;Microsoft;1302;0.9954128440366973;
gllto.glpals.com;Google;2390;0.987603305785124;
mtalk4.google.com;Google;25012;0.9767641660483461;
arc.msn.com;Microsoft;10095;0.998220112726194;
p33-btmmdns.icloud.com;Apple;1146;1.0;
search.itunes.apple.com;Apple;1749;1.0;
p16-keyvalueservice.icloud.com;Apple;1062;1.0;
fsr.lenovomm.com;Google;1268;0.9821843532145623;
ads.scorecardresearch.com;Microsoft;2013;0.9617773530817009;
84E00-0F767.api.pushwoosh.com;Google;1985;0.9673489278752436;
courier.sandbox.push.apple.com;Apple;4095;0.9985369422092173;
blzddist1-a.akamaihd.net;Microsoft;5478;0.9608840554288721;
sdkconfig.ad.xiaomi.com;Google;1774;0.9955106621773289;
cl4.apple.com;Apple;2204;0.99909338168631;
bn2ap002.device.ra.live.com;Microsoft;4673;0.9970130147215703;
pd-st.itunes.apple.com;Apple;1932;0.9797160243407708;
dmd.metaservices.microsoft.com;Microsoft;2117;0.9962352941176471;
config.ioam.de;Google;1334;0.9744338933528123;
decide.mixpanel.com;Google;6523;0.9692421991084695;
galleryapi.micloud.xiaomi.net;Google;3153;0.9810205351586808;
snaptu-mini.facebook.com;Google;1707;0.9557670772676372;
api.ad.xiaomi.com;Google;2418;0.9954713874022232;
alt6-mtalk.google.com;Google;1124;0.9765421372719374;
p53-ckdatabase.icloud.com;Apple;1014;0.9912023460410557;
gspe21.ls.apple.com;Apple;1033;1.0;
sv.symcd.com;Microsoft;1260;0.9992069785884219;
init-p01st.push.apple.com;Apple;23535;0.9803390677718998;
p31-keyvalueservice.icloud.com;Apple;1975;0.9989883662114315;
urlauth.ksmobile.net;Google;1326;0.9866071428571429;
o.aolcdn.com;Microsoft;1966;0.9694280078895463;
liveupdate01s.asus.com;Microsoft;4087;0.9869596715769138;
p42-keyvalueservice.icloud.com;Apple;1135;1.0;
filedownload.lenovo.com;Microsoft;2194;0.9990892531876139;
events.gfe.nvidia.com;Microsoft;2843;0.9916288803627485;
iecvlist.microsoft.com;Microsoft;1588;0.986335403726708;
supl.google.com;Google;1099;1.0;
eu-west-1.dc.ads.linkedin.com;Microsoft;4036;0.9650884744141559;
init.gc.apple.com;Apple;1260;1.0;
api.stathat.com;Microsoft;2385;0.99375;
www-c1810.cloud.acer.com;Microsoft;2687;0.9937130177514792;
update.eset.com;Microsoft;1152;0.9965397923875432;
sadownload.mcafee.com;Microsoft;1252;0.9960222752585521;
iphone-ld.apple.com;Apple;3230;0.9987631416202845;
3.dl.delivery.mp.microsoft.com;Microsoft;6351;1.0;
b-www.facebook.com;Google;1337;0.9859882005899705;
service.gc.apple.com;Apple;2629;1.0;
ups.ksmobile.net;Google;3759;0.9910361191668864;
dev.virtualearth.net;Microsoft;1333;0.9881393624907339;
p53-keyvalueservice.icloud.com;Apple;2925;1.0;
update.iobit.com;Microsoft;1859;1.0;
p09-keyvalueservice.icloud.com;Apple;4658;1.0;
p15-keyvalueservice.icloud.com;Apple;3699;1.0;
service.weather.microsoft.com;Microsoft;6405;0.993485342019544;
ocsp.msocsp.com;Microsoft;4339;0.985017026106697;
taskassist-pa.googleapis.com;Google;1652;0.9880382775119617;
goupdate.3g.cn;Google;1760;0.9943502824858758;
a0.app.xiaomi.com;Google;1267;0.996852871754524;
weatherapi.market.xiaomi.com;Google;1584;0.9987389659520807;
p49-keyvalueservice.icloud.com;Apple;1317;0.9969719909159728;
p38-keyvalueservice.icloud.com;Apple;2834;0.9964838255977496;
gs-loc.apple.com;Apple;28323;0.9994001411432604;
p39-keyvalueservice.icloud.com;Apple;1350;1.0;
gspe35-ssl.ls.apple.com;Apple;3105;1.0;
webadvisorc.rest.gti.mcafee.com;Microsoft;2288;1.0;
etxl-edge.icloud-content.com:80;Apple;1295;0.9885496183206107;
photos.googleapis.com;Apple;2554;1.0;
i4.c.eset.com:80;Microsoft;1344;0.9838945827232797;
clientservices.googleapis.com;Google;8642;0.963755994200959;
oss-content.securestudies.com;Microsoft;4066;1.0;
p18-keyvalueservice.icloud.com;Apple;1255;1.0;
ervicesupport2.hicloud.com:8080;Google;5993;1.0;
s.browserapi.micloud.xiaomi.net;Google;2457;0.999593165174939;
icc.blackberry.com;Other;1711;0.9716070414537195;
ssdk.adkmob.com;Google;1109;0.9955116696588869;
data.mistat.xiaomi.com;Google;15401;0.9940618343768154;
skydrive.wns.windows.com;Microsoft;3527;0.9694887300714679;
settings-win.data.microsoft.com;Microsoft;15071;0.9975509663754303;
cdn.onenote.net;Microsoft;11863;0.9965557795698925;
c.urs.microsoft.com;Microsoft;1580;0.9974747474747475;
datasaver.googleapis.com;Google;1046;0.9849340866290018;
ctldl.windowsupdate.com;Microsoft;19471;0.9976430803914536;
helpnewsrepublic1.ksmobile.com;Google;10845;0.9985268391492496;
p41-keyvalueservice.icloud.com;Apple;1774;0.9988738738738738;
windows.policies.live.net;Microsoft;2973;0.9979859013091642;
p50-ckdevice.icloud.com;Apple;5326;1.0;
hub.samsungapps.com;Google;1839;0.998371335504886;
pks.a.mobimagic.com;Google;1193;0.9958263772954925;
store-images.s-microsoft.com;Microsoft;1689;0.9941141848145968;
graph.accountkit.com;Google;2056;0.9966068831798351;
pd-nk.itunes.apple.com;Apple;2065;0.9875657580105213;
sci2-1.am.microsoft.com;Microsoft;8821;0.9964979665612291;
sp.cwfservice.net;Microsoft;1961;0.9556530214424951;
sstats.adobe.com;Microsoft;1247;0.9570222563315426;
inference.location.live.net;Microsoft;3360;0.9902740937223696;
us.sfsapi.micloud.xiaomi.net;Google;1753;1.0;
cmdts.ksmobile.com;Google;6048;0.9846955389124064;
pancake.apple.com;Apple;4210;0.9992879183479706;
p32-ckdatabase.icloud.com;Apple;1503;0.998671096345515;
fe2.update.microsoft.com;Microsoft;11928;0.9976580796252927;
eo-prod.do.dsp.mp.microsoft.com;Microsoft;4274;0.9985981308411215;
80.188.78.188;Microsoft;1540;0.9852847088931542;
play.itunes.apple.com;Apple;8097;0.9942288801571709;
bn1304.storage.live.com;Microsoft;1566;0.9961832061068703;
infoc2.duba.net;Google;5657;0.9870877682777874;
query.ess.apple.com;Apple;1490;1.0;
ocsp.verisign.com;Microsoft;1969;0.9929399899142713;
go.microsoft.com;Microsoft;22673;0.991646256123163;
dl.delivery.mp.microsoft.com;Microsoft;3957;0.9997473471450228;
img.s-msn.com;Microsoft;1647;0.9981818181818182;
browserapi.micloud.xiaomi.net;Google;1110;1.0;
api.accuweather.com;Google;44223;0.97949013267182;
gspe1-ssl.ls.apple.com;Apple;13745;0.9993456449033009;
playatoms-pa.googleapis.com;Google;1101;0.9981867633726201;
p13-keyvalueservice.icloud.com;Apple;1405;1.0;
courier.push.apple.com;Apple;68017;0.9781411334972748;
apple.imap.mail.yahoo.com;Apple;1564;1.0;
finance.services.appex.bing.com;Microsoft;2639;0.9988644965934897;
cdf-anon.xboxlive.com;Microsoft;1277;0.9984362783424551;
autoupdate.geo.opera.com;Microsoft;1297;0.979607250755287;
s.galleryapi.micloud.xiaomi.net;Google;4551;0.9962784588441331;
cdn.at.atwola.com;Microsoft;1226;0.9737887212073074;
alt7-mtalk.google.com;Google;1069;0.9735883424408015;
huawei2.accu-weather.com;Google;2313;0.9987046632124352;
sls.update.microsoft.com;Microsoft;10720;0.9985096870342772;
guzzoni.apple.com;Apple;7811;0.9991046303402404;
uib.ff.avast.com;Microsoft;9988;0.9787359137677609;
update.miui.com;Google;2467;0.9832602630530092;
oem.twimg.com;Microsoft;9512;0.998320738874895;
c.s-microsoft.com;Microsoft;1108;0.9787985865724381;
asrvvv-a.akamaihd.net;Microsoft;1021;0.9980449657869013;
services.gfe.nvidia.com;Microsoft;1664;0.9970041941282205;
p24-keyvalueservice.icloud.com;Apple;1349;1.0;
notify.seznam.cz;Microsoft;5132;0.991499227202473;
download.lenovo.com;Microsoft;1882;0.9984084880636604;
p21-ckdatabase.icloud.com;Apple;1950;0.9948979591836735;
cz-odc.samsungapps.com;Google;1093;0.9981735159817352;
dm2304.storage.live.com;Microsoft;1072;0.9871086556169429;
sci1-1.am.microsoft.com;Microsoft;11150;0.9979414660341895;
detxl-edge.icloud-content.com;Apple;2846;0.9968476357267951;
p11-keyvalueservice.icloud.com;Apple;1384;1.0;
er-prod.do.dsp.mp.microsoft.com;Microsoft;8916;0.998879677347076;
check.googlezip.net;Google;1131;0.9775280898876404;
config.yeadesktop.com;Microsoft;2060;1.0;
fotky.tiscali.cz;Microsoft;1074;0.9898617511520738;
mqtt-mini.facebook.com;Google;32851;0.9808611011584856;
proxy-detection.eset.com;Microsoft;2551;1.0;
android.clients.google.com;Google;123560;0.9865384922472574;
c.msn.com;Microsoft;4466;0.9984350547730829;
cache.datamart.windows.com;Microsoft;1182;0.9983108108108109;
cs-cz.appex-rf.msn.com;Microsoft;2287;0.9995629370629371;
crl.comodoca.com;Microsoft;2720;0.9963369963369964;
i1.c.eset.com:80;Microsoft;1006;0.9853085210577864;
api.account.xiaomi.com;Google;2522;0.9960505529225908;
0.ssl.ak.tiles.virtualearth.net;Microsoft;1837;0.9967444384156267;
watson.telemetry.microsoft.com;Microsoft;4356;0.999770484278173;
ficshaping.dsp.mp.microsoft.com;Microsoft;5380;0.9990714948932219;
android.googleapis.com;Google;11169;0.9757994059059933;
api.elysium.opera.com;Google;1621;0.9788647342995169;
vetileedge.dsx.mp.microsoft.com;Microsoft;2066;0.9980676328502416;
armmf.adobe.com;Microsoft;1419;0.9549125168236877;
push.bitdefender.net;Microsoft;4167;1.0;
ssw.live.com;Microsoft;9263;0.9877372574109619;
m.hotmail.com;Microsoft;1642;0.998176291793313;
p27-keyvalueservice.icloud.com;Apple;1240;0.9991941982272361;
setting.rayjump.com;Google;2764;0.9818827708703375;
init-p01md.apple.com;Apple;3214;0.9993781094527363;
g.live.com;Microsoft;3090;0.9935691318327974;
sway-cdn.com;Microsoft;7436;0.99892530897367;
p14-keyvalueservice.icloud.com;Apple;1576;0.9911949685534591;
tic.bundles.hybrid.api.here.com;Microsoft;1629;0.9754491017964072;
speeddials.opera.com;Microsoft;1073;0.9571810883140054;
candycrushsoda.king.com;Microsoft;5495;0.9985462475013629;
captive.apple.com;Apple;19593;0.9913479052823315;
p45-keyvalueservice.icloud.com;Apple;1288;0.9969040247678018;
p35-keyvalueservice.icloud.com;Apple;1217;0.9926590538336052;
v7event.stats.avast.com;Microsoft;3094;0.9990313206328705;
pimobile.lifelog.sonymobile.com;Google;1153;0.9956822107081175;
p31-ckdatabase.icloud.com;Apple;1148;0.9837189374464439;
prod14-files.acompli.net;Google;1552;0.968789013732834;
p59-keyvalueservice.icloud.com;Apple;1200;0.9983361064891847;
auth.ff.avast.com;Microsoft;6939;0.9796696315120712;
p34-keyvalueservice.icloud.com;Apple;1700;1.0;
fe3.delivery.mp.microsoft.com;Microsoft;7882;0.9989860583016477;
ip-info.ff.avast.com;Microsoft;3042;0.9970501474926253;
p44-keyvalueservice.icloud.com;Apple;1365;1.0;
iosapps.itunes.apple.com;Apple;2637;1.0;
ts.eset.com:80;Microsoft;1718;0.973371104815864;
p15-ckdatabase.icloud.com;Apple;1154;0.9812925170068028;
t-storage-upload.googleapis.com;Apple;1314;1.0;
xsts.auth.xboxlive.com;Microsoft;1155;0.9982713915298185;
cl5.apple.com;Apple;2594;0.9996146435452794;
p23-keyvalueservice.icloud.com;Apple;1391;0.9971326164874552;
p12-keyvalueservice.icloud.com;Apple;1245;1.0;
filerep.ff.avast.com;Microsoft;1207;0.9917830731306492;
pingsl.avast.com;Microsoft;5284;0.9988657844990548;
ieonlinews.microsoft.com;Microsoft;2050;1.0;
static.gc.apple.com;Apple;1499;1.0;
cdn.odc.officeapps.live.com;Microsoft;1719;1.0;
toreedgefd.dsx.mp.microsoft.com;Microsoft;2346;0.9978732454274777;
fitplan.analyzer.omniata.com;Google;1365;0.9884141926140478;
gsp10-ssl.apple.com;Apple;11816;0.9998307666271788;
init.itunes.apple.com;Apple;23435;0.9956240972045204;
api.smoot.apple.com;Apple;3581;0.9986056887897379;
qfw.trumpetedextremes.com;Microsoft;1585;1.0;
ds.ssw.live.com;Microsoft;1314;0.9733333333333334;
bn1305.storage.live.com;Microsoft;1700;0.99241097489784;
resolver.gslb.mi-idc.com;Google;3515;0.9960328705015585;
wp.360overseas.com;Google;1164;1.0;
itunes.apple.com;Apple;4108;0.9801956573610117;
caldav.icloud.com;Apple;1840;0.9983722192078134;
www.microsoft.com;Microsoft;5003;0.9792522998629869;
p51-keyvalueservice.icloud.com;Apple;1496;0.9973333333333333;
ntsuggestions-pa.googleapis.com;Google;2707;0.989762340036563;
ntconfig.akamai.steamstatic.com;Microsoft;2658;0.965843023255814;
gsp-ssl.ls.apple.com;Apple;14392;0.9994444444444445;
init-s01st.push.apple.com;Apple;2404;0.9987536352305775;
p49-ckdatabase.icloud.com;Apple;1186;0.9721311475409836;
p43-keyvalueservice.icloud.com;Apple;1489;0.9959866220735786;
gsp1.apple.com;Apple;2487;0.9987951807228915;
p50-keyvalueservice.icloud.com;Apple;1167;1.0;
p17-keyvalueservice.icloud.com;Apple;1131;1.0;
htc2.accu-weather.com;Google;1308;0.9946768060836502;
p29-ckdatabase.icloud.com;Apple;1155;0.9982713915298185;
continuum.dds.microsoft.com;Microsoft;1379;0.9956678700361011;
gsa.apple.com;Apple;2452;0.977281785571941;
thor.ff.avast.com;Microsoft;1085;1.0;
wq.cloud.duba.net;Microsoft;3346;1.0;
p33-keyvalueservice.icloud.com;Apple;1804;0.9884931506849315;
down4.ucweb.com;Google;1740;0.9959931310818546;
developers.facebook.com;Apple;1133;0.9767241379310345;
cl2.apple.com;Apple;13642;0.9991211366632489;
ca9.opera-proxy.net;Microsoft;1189;1.0;
lcdn-locator.apple.com;Apple;2507;0.9996012759170654;
au.ff.avast.com:80;Google;1027;0.9837164750957854;
tracking.miui.com;Google;1940;0.9897959183673469;
dm2305.storage.live.com;Microsoft;1149;0.998262380538662;
keyvalueservice.icloud.com;Apple;2309;1.0;
cs-CZ.appex-rf.msn.com;Microsoft;2717;0.9970642201834863;
v7.stats.avast.com;Microsoft;1431;0.9986043265875785;
connectivitycheck.gstatic.com;Google;59211;0.9758392801226164;
samsung.com;Google;9094;0.9995603429325126;
client.wns.windows.com;Microsoft;24764;0.9981056789327315;
urs.smartscreen.microsoft.com;Microsoft;8244;0.9718260049510786;
servicesupport.hicloud.com:8080;Google;2425;1.0;
et1.zonealarm.com;Microsoft;1360;1.0;
d12891wwij1v6q.cloudfront.net;Google;9423;1.0;
skydrivesync.policies.live.net;Microsoft;1205;0.9925864909390445;
servicesupport.hicloud.com;Google;2046;1.0;
p30-keyvalueservice.icloud.com;Apple;1549;1.0;
172.217.23.238;Google;24715;0.9517116562054757;
o2o.api.xiaomi.com;Google;1111;0.9982030548068284;
static.donation-tools.org;Microsoft;3212;1.0;
dynamic.tiles.virtualearth.net;Microsoft;1568;0.9911504424778761;
p38-ckdatabase.icloud.com;Apple;1236;0.9747634069400631;
pki.google.com;Microsoft;7726;0.9951056156620299;
p25-keyvalueservice.icloud.com;Apple;1065;1.0;
social.xboxlive.com;Microsoft;1362;0.9970717423133236;
sfsapi.micloud.xiaomi.net;Google;1011;0.9844206426484907;
configuration.apple.com;Apple;19154;0.9902290234193248;
vortex-win.data.microsoft.com;Microsoft;3271;0.995738203957382;
edf.eset.com;Microsoft;4288;0.9620821180166031;
login.live.com;Microsoft;58530;0.9596340503672612;
cdn0.opera-mini.net;Microsoft;1218;0.9744;
p37-ckdatabase.icloud.com;Apple;1023;0.9715099715099715;
ms.cmcm.com;Google;9647;0.9843877551020408;
emupdate.avcdn.net;Microsoft;1081;1.0;
sync.mobojoy.baidu.com;Google;2939;1.0;
cdn.content.prod.cms.msn.com;Microsoft;31102;0.9976583801122695;
upp.itunes.apple.com;Apple;1456;0.9851150202976996;
g.bing.com;Microsoft;3559;0.9938564646746719;
www.baidu.com;Google;2509;0.9743689320388349;
vl.ff.avast.com;Microsoft;33161;0.9994273658830621;
iadsdk.apple.com;Apple;2671;0.9992517770295548;
alt8-mtalk.google.com;Google;1067;0.9843173431734318;
javadl-esd-secure.oracle.com;Microsoft;1737;0.9977024698449167;
gsp36-ssl.ls.apple.com;Apple;1453;1.0;
imagebox.cz.osobnosti.cz;Microsoft;2500;0.9811616954474097;
adash.m.taobao.com;Google;1387;0.9864864864864865;
oneclient.sfx.ms;Microsoft;2694;0.9985174203113417;
eu-irl-00001.s3.amazonaws.com;Apple;2760;0.9978308026030369;
udl-api.sonymobile.com;Google;1231;0.994345718901454;
bn1303.storage.live.com;Microsoft;1248;0.9968051118210862;
crl.microsoft.com;Microsoft;4906;0.9967492889069484;
p33-ckdatabase.icloud.com;Apple;1276;0.9615674453654861;
g.ceipmsn.com;Microsoft;11888;0.9984881572316479;
ipm-provider.ff.avast.com;Microsoft;3524;0.9971703452178834;
hone.sports.tile.appex.bing.com;Microsoft;1107;1.0;
28.engine.mobileapptracking.com;Google;1174;0.9840737636211232;
7.dl.delivery.mp.microsoft.com;Microsoft;10012;0.999700449326011;
lu.dl.delivery.mp.microsoft.com;Microsoft;82656;0.9992021469500254;
gspe19.ls.apple.com;Apple;6081;1.0;
wdcp.microsoft.com;Microsoft;1655;0.9993961352657005;
letgocz-a.akamaihd.net;Google;3669;0.9752791068580542;
p47-keyvalueservice.icloud.com;Apple;1252;1.0;
urs.microsoft.com;Microsoft;3602;0.973250472845177;
net.rayjump.com;Google;1291;0.9810030395136778;
download.windowsupdate.com;Microsoft;4039;0.9953178905864958;
s.symcd.com;Microsoft;1010;0.9692898272552783;
p42-ckdatabase.icloud.com;Apple;1147;0.9922145328719724;
cdn.microsoft.com.edgesuite.net;Microsoft;2162;0.997692662667282;
cl3.apple.com;Apple;26497;0.998869076789686;
au.download.windowsupdate.com;Microsoft;24724;0.9977401129943503;
www.lenovo.com;Microsoft;1439;0.9972279972279973;
clients3.google.com;Google;76081;0.9953165269038057;
ts.eset.com;Microsoft;5751;0.9922360248447205;
0.vortex-win.data.microsoft.com;Microsoft;50091;0.9981866007731856;
resolver.msg.xiaomi.net;Google;3033;0.9986829107672045;
init.ess.apple.com;Apple;3897;0.9989746218918226;
hp-eus-s-msn-com.akamaized.net;Microsoft;11659;0.9984585081784705;
dm2301.storage.live.com;Microsoft;1240;0.9763779527559056;
cs.dds.microsoft.com;Microsoft;2073;0.9975938402309913;
dnsproxy.ff.avast.com;Microsoft;8160;0.9991428921268519;
bn1302.storage.live.com;Microsoft;1113;0.9964189794091316;
prw.lenovomm.com;Google;1180;0.9672131147540983;
www.msftconnecttest.com;Microsoft;18261;0.9985782249685569;
docs.mcneel.com;Microsoft;2715;1.0;
winphone.wns.windows.com;Microsoft;1081;0.9935661764705882;
system.donation-tools.org;Microsoft;1363;1.0;
p21-keyvalueservice.icloud.com;Apple;1963;0.9859367152184831;
iphonesubmissions.apple.com;Apple;2375;0.9991586032814472;
cfg.cml.ksmobile.com;Google;2417;0.9905737704918033;
ccc.sys.miui.com;Google;3739;0.9780277269160346;
crl.usertrust.com;Microsoft;4746;0.9970588235294118;
travel.tile.appex.bing.com;Microsoft;1790;1.0;
n.m.ksmobile.net;Google;1529;0.9986936642717178;
